,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,class
0,0.77,1.0,0.48,0.9,0.24,0.3,0.56,0.0,1.0,0.43,0.9,0.94,0.34,0.72,0.0,0.21,0.0
1,0.29,0.8299999999999998,0.0,0.8299999999999998,0.41,0.42,0.53,0.0,0.17,0.2,0.5,0.61,1.0,1.0,0.29,0.95,1.0
2,0.32,0.87,0.24,0.54,0.81,1.0,0.0,0.72,0.18,0.44,0.36,0.0,1.0,0.44,0.19,0.49,1.0
3,0.56,0.97,0.16,1.0,0.0,0.55,0.18,0.11,0.67,0.0,1.0,0.36,0.91,0.8199999999999998,0.44,0.98,0.0
4,0.19,0.91,0.0,0.6,0.1,0.17,0.55,0.0,0.94,0.26,1.0,0.7,0.67,1.0,0.23,0.81,0.0
5,0.31,0.87,0.0,0.59,0.08999999999999998,0.13,0.51,0.0,0.91,0.25,1.0,0.68,0.64,1.0,0.21,0.94,0.0
6,0.96,1.0,0.52,0.8399999999999999,0.18,0.49,0.0,0.13,0.46,0.0,0.95,0.28,1.0,0.66,0.52,0.95,0.0
7,0.49,0.74,0.14,0.4,0.28,0.0,0.78,0.14,1.0,0.56,0.71,0.93,0.18,1.0,0.0,0.64,0.0
8,0.62,0.76,0.0,1.0,0.22,0.68,0.9,0.37,1.0,0.0,0.13,0.08,0.13,0.47,0.68,0.81,1.0
9,0.4,0.94,0.22,0.95,0.0,0.45,0.23,0.0,0.8299999999999998,0.1,1.0,0.58,0.61,1.0,0.19,0.75,0.0
10,0.02,0.61,0.05,0.79,0.0,0.33,0.38,0.0,0.91,0.2,1.0,0.65,0.63,1.0,0.17,0.74,0.0
11,0.32,0.91,0.11,0.68,0.0,0.23,0.42,0.0,0.8499999999999999,0.27,1.0,0.71,0.66,1.0,0.2,0.75,0.0
12,0.15,0.78,0.06,0.33,0.34,0.0,0.79,0.17,1.0,0.58,0.81,0.9900000000000002,0.34,1.0,0.0,0.68,0.0
13,0.26,0.8299999999999998,0.18,0.45,0.4,0.0,0.89,0.06,1.0,0.54,0.71,0.94,0.21,1.0,0.0,0.57,0.0
14,0.62,0.98,0.22,0.72,0.0,0.29,0.28,0.0,0.77,0.15,1.0,0.57,0.86,1.0,0.37,0.97,0.0
15,0.07,0.54,0.08,0.14,0.56,0.0,0.9900000000000002,0.24,1.0,0.68,0.63,1.0,0.12,0.97,0.0,0.56,0.0
16,0.8499999999999999,0.9,0.1,0.65,1.0,0.69,0.34,1.0,0.53,0.41,0.0,0.0,0.92,0.05,0.35,0.48,1.0
17,0.15,0.8,0.0,0.46,0.2,0.07,0.67,0.0,1.0,0.33,0.93,0.76,0.53,1.0,0.16,0.75,0.0
18,0.16,0.68,0.0,0.37,0.28,0.0,0.8,0.23,1.0,0.67,0.69,1.0,0.16,0.78,0.03,0.35,0.0
