,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,class
0,0.272727,0.106667,0.204819,0.009202,0.059801,0.017361,0.290323,0.081164,0.341085,0.134831,0.463768,0.166667,0.0
1,0.31405,0.146667,0.162651,0.153374,0.049834,0.104167,0.260369,0.21284,0.426357,0.044944,0.188406,0.5,1.0
2,0.330579,0.12,0.186747,0.046012,0.026578,0.07291699999999998,0.21659,0.06844,0.209302,0.140449,0.594203,0.666667,1.0
3,0.280992,0.113333,0.23494,0.281442,0.048173,0.142361,0.343318,0.246578,0.193798,0.140449,0.144928,0.5,1.0
4,0.231405,0.133333,0.246988,0.09816,0.061462,0.201389,0.43318,0.163293,0.325581,0.146067,0.202899,0.333333,0.0
5,0.181818,0.06,0.126506,0.082822,0.068106,0.08680599999999998,0.294931,0.130904,0.27907,0.179775,0.26087,0.5,1.0
6,0.239669,0.12,0.180723,0.018405,0.056478,0.083333,0.264977,0.140544,0.55814,0.219101,0.318841,0.5,1.0
7,0.206612,0.173333,0.313253,0.087423,0.063123,0.215278,0.414747,0.148448,0.356589,0.123596,0.231884,0.333333,0.0
8,0.264463,0.326667,0.0,0.021472,0.300664,0.038194,0.08986199999999998,0.186042,0.457364,0.213483,0.202899,0.5,1.0
9,0.198347,0.146667,0.253012,0.02454,0.04485,0.09375,0.281106,0.057644,0.317829,0.08988799999999998,0.521739,0.5,1.0
10,0.22314,0.233333,0.168675,0.163344,0.038206,0.104167,0.186636,0.09813,0.232558,0.08988799999999998,0.637681,0.5,1.0
11,0.231405,0.133333,0.168675,0.121166,0.071429,0.1875,0.47235,0.175246,0.286822,0.185393,0.130435,0.5,1.0
12,0.512397,0.253333,0.26506,0.035276,0.093023,0.010417,0.004608,0.185656,0.472868,0.224719,0.608696,0.5,1.0
13,0.231405,0.106667,0.180723,0.190184,0.071429,0.059028,0.315668,0.214768,0.503876,0.151685,0.202899,0.5,1.0
14,0.404959,0.293333,0.054217,0.029141,0.136213,0.065972,0.09907800000000001,0.202236,0.48062,0.359551,0.376812,0.666667,1.0
15,0.165289,0.12,0.108434,0.009202,0.036545,0.135417,0.248848,0.071139,0.542636,0.101124,0.434783,0.666667,1.0
16,0.280992,0.213333,0.228916,0.02454,0.034884,0.135417,0.237327,0.070175,0.426357,0.134831,0.666667,0.5,1.0
17,0.338843,0.113333,0.204819,0.165644,0.051495,0.180556,0.451613,0.192211,0.302326,0.196629,0.231884,0.5,1.0
18,0.413223,0.26,0.295181,0.035276,0.126246,0.055556,0.239631,0.213804,0.44186,0.213483,0.26087,0.333333,0.0
19,0.107438,0.02,0.192771,0.015337,0.031561,0.038194,0.193548,0.057259,0.658915,0.168539,0.608696,0.5,1.0
20,0.363636,0.08,0.259036,0.029141,0.111296,0.104167,0.103687,0.185271,0.627907,0.331461,0.347826,0.5,1.0
21,0.272727,0.08,0.216867,0.168712,0.054817,0.152778,0.271889,0.190669,0.155039,0.207865,0.217391,0.666667,1.0
22,0.219008,0.04,0.253012,0.009202,0.068106,0.173611,0.28341,0.07807999999999998,0.426357,0.264045,0.449275,0.666667,1.0
